City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,saint-honore,-6.2167,155.6333,82.08,80.0,100.0,6.6,PG,1675892930.0
150,saint-honore,,,,,,,,
151,saint-honore,39.7916,37.0019,16.43,85.0,75.0,8.05,TR,1675893351.0
152,saint-honore,48.8534,2.3488,34.14,72.0,0.0,4.61,FR,1675893191.0
153,saint-honore,-33.6971,-53.4616,75.63,79.0,100.0,16.53,UY,1675892696.0
154,saint-honore,43.7444,135.2892,4.12,85.0,4.0,4.97,RU,1675893202.0
155,saint-honore,60.4667,166.1,-17.59,88.0,88.0,10.22,RU,1675893024.0
156,saint-honore,72.7868,-56.1549,-26.63,77.0,13.0,6.24,GL,1675892876.0
157,saint-honore,60.1432,-45.2371,29.34,83.0,100.0,5.26,GL,1675892820.0
158,saint-honore,10.5669,72.642,79.03,76.0,87.0,7.14,IN,1675893177.0
159,saint-honore,,,,,,,,
160,saint-honore,23.8,-100.7333,77.65,12.0,14.0,14.58,MX,1675893352.0
161,saint-honore,-22.2167,30.0,78.64,67.0,63.0,8.41,ZW,1675893353.0
162,saint-honore,,,,,,,,
163,saint-honore,11.6667,92.75,75.24,83.0,40.0,0.0,IN,1675892979.0
164,saint-honore,-22.9575,14.5053,66.09,85.0,3.0,10.2,NA,1675892995.0
165,saint-honore,-20.3428,57.7575,79.21,83.0,75.0,8.05,MU,1675892906.0
166,saint-honore,,,,,,,,
167,saint-honore,36.0998,0.4206,49.55,81.0,3.0,7.83,DZ,1675893354.0
168,saint-honore,50.0,10.6,27.75,74.0,0.0,3.24,DE,1675893354.0
169,saint-honore,-17.5694,-52.5511,72.99,81.0,96.0,2.59,BR,1675893225.0
170,saint-honore,-15.1961,12.1522,71.11,72.0,100.0,11.72,AO,1675892845.0
171,saint-honore,7.9868,117.0645,79.57,78.0,74.0,15.21,PH,1675893355.0
172,saint-honore,30.0754,71.1921,59.02,29.0,87.0,7.74,PK,1675893356.0
173,saint-honore,60.7167,-46.0333,26.2,93.0,100.0,5.95,GL,1675892970.0
174,saint-honore,22.8909,-109.9124,81.7,35.0,0.0,9.22,MX,1675892797.0
175,saint-honore,-24.8667,113.6333,78.57,72.0,36.0,17.76,AU,1675892904.0
176,saint-honore,,,,,,,,
177,saint-honore,22.0752,-159.319,80.58,65.0,20.0,25.32,US,1675892879.0
178,saint-honore,-0.9,-89.6,81.59,83.0,75.0,2.3,EC,1675893357.0
179,saint-honore,-10.5414,32.0816,59.65,97.0,55.0,3.0,ZM,1675893357.0
180,saint-honore,-8.103,156.8419,83.16,75.0,99.0,12.73,SB,1675893358.0
181,saint-honore,-46.1333,167.6833,50.92,78.0,92.0,11.34,NZ,1675893033.0
182,saint-honore,-25.1667,45.05,76.08,78.0,100.0,4.81,MG,1675892993.0
183,saint-honore,-3.4833,23.4333,69.33,98.0,100.0,2.53,CD,1675893359.0
184,saint-honore,20.6667,-102.5833,78.35,26.0,28.0,6.4,MX,1675893359.0
185,saint-honore,-32.035,-52.0986,84.31,77.0,31.0,15.57,BR,1675892941.0
186,saint-honore,,,,,,,,
187,saint-honore,24.3667,88.6,63.19,53.0,0.0,3.67,BD,1675893361.0
188,saint-honore,-2.6741,141.3028,77.94,91.0,100.0,15.55,PG,1675892947.0
189,saint-honore,-5.6667,132.75,79.09,89.0,100.0,24.43,ID,1675893362.0
190,saint-honore,26.326,43.975,52.25,38.0,100.0,8.63,SA,1675893362.0
191,saint-honore,54.7169,-113.2854,34.21,85.0,89.0,6.13,CA,1675893179.0
192,saint-honore,6.5932,-0.7346,74.26,77.0,65.0,4.18,GH,1675893363.0
193,saint-honore,38.2477,36.914,8.67,84.0,33.0,4.09,TR,1675893364.0
194,saint-honore,38.8876,-76.5119,64.35,34.0,0.0,5.75,US,1675893365.0
195,saint-honore,4.7059,-74.2302,62.69,63.0,75.0,4.61,CO,1675893213.0
196,saint-honore,4.1178,15.1393,74.48,20.0,5.0,2.35,CF,1675893366.0
197,saint-honore,31.2089,16.5887,57.22,51.0,0.0,30.18,LY,1675892922.0
198,saint-honore,65.282,-126.8329,-14.76,70.0,100.0,3.44,CA,1675892865.0
199,saint-honore,30.4833,-115.95,64.29,34.0,5.0,10.69,MX,1675893116.0
200,saint-honore,,,,,,,,
201,saint-honore,73.5069,80.5464,2.75,79.0,100.0,11.45,RU,1675892799.0
202,saint-honore,,,,,,,,
203,saint-honore,14.8961,-24.4956,69.89,71.0,28.0,11.3,CV,1675892987.0
204,saint-honore,61.3333,22.9,36.3,89.0,100.0,13.87,FI,1675893374.0
205,saint-honore,64.2457,12.3778,44.01,87.0,100.0,5.37,NO,1675893374.0
206,saint-honore,,,,,,,,
207,saint-honore,-3.7703,-70.3831,78.19,86.0,100.0,1.95,CO,1675893375.0
208,saint-honore,47.4092,42.7575,15.44,92.0,6.0,7.63,RU,1675893376.0
209,saint-honore,53.0452,158.6483,-3.23,84.0,40.0,6.71,RU,1675893265.0
210,saint-honore,-2.4959,-66.2662,81.68,78.0,80.0,2.21,BR,1675893256.0
211,saint-honore,47.8043,67.7144,-0.4,93.0,84.0,15.28,KZ,1675893377.0
212,saint-honore,-8.145,159.5921,80.89,84.0,96.0,7.45,SB,1675892975.0
213,saint-honore,7.9803,49.8164,73.18,85.0,18.0,10.49,SO,1675892840.0
214,saint-honore,32.6667,-17.1,60.12,53.0,43.0,7.07,PT,1675892893.0
215,saint-honore,18.8667,-99.65,80.22,29.0,11.0,5.44,MX,1675893378.0
216,saint-honore,21.5833,-104.8167,83.26,21.0,2.0,8.34,MX,1675893378.0
217,saint-honore,48.9957,-64.3971,30.49,77.0,50.0,22.3,CA,1675893379.0
218,saint-honore,56.9064,118.2631,-14.6,79.0,44.0,1.72,RU,1675893379.0
219,saint-honore,,,,,,,,
220,saint-honore,2.0371,45.3438,77.07,80.0,6.0,16.71,SO,1675892755.0
221,saint-honore,8.3167,77.1833,78.48,79.0,84.0,3.91,IN,1675893381.0
222,saint-honore,5.4112,100.3354,80.53,94.0,20.0,4.61,MY,1675892711.0
223,saint-honore,54.4299,31.8996,21.34,96.0,100.0,6.58,RU,1675893381.0
224,saint-honore,-33.918,25.5701,69.31,83.0,20.0,3.44,ZA,1675892944.0
225,saint-honore,77.484,-69.3632,-26.45,68.0,17.0,6.13,GL,1675892945.0
226,saint-honore,-6.8367,-79.9342,82.69,57.0,0.0,21.85,PE,1675893382.0
227,saint-honore,-19.9,48.8,73.94,91.0,98.0,0.6,MG,1675893383.0
228,saint-honore,4.1363,96.1285,76.08,87.0,100.0,4.05,ID,1675892764.0
229,saint-honore,-51.6226,-69.2181,82.45,21.0,75.0,29.93,AR,1675892897.0
230,saint-honore,42.2506,-75.833,42.66,61.0,16.0,2.17,US,1675893089.0
231,saint-honore,38.5167,-28.7,55.8,62.0,40.0,8.05,PT,1675892916.0
232,saint-honore,-33.0153,27.9116,69.35,87.0,100.0,0.72,ZA,1675892783.0
